compartment,family,threshold,ped_pct,gbm_pct,n_ped,odds_ratio,p,kappa
WT,absolute,0.0,47.36842105263158,38.49958779884584,114,1.4384319618155301,0.07096487042830957,0.9414339316360619
WT,absolute,5.0,44.73684210526316,36.60346248969497,114,1.404010522306759,0.1046936622537212,0.9411509144695644
WT,absolute,10.0,44.73684210526316,35.77906018136851,114,1.4549894439259534,0.06683120700272233,0.9410193834572343
WT,absolute,15.0,44.73684210526316,35.36685902720528,114,1.481369107092114,0.05263103254239092,0.9231799170947245
WT,absolute,20.0,43.85964912280702,35.20197856553998,114,1.4404370098372545,0.06704057112657318,0.9050256357427883
WT,absolute,30.0,42.98245614035088,34.37757625721352,114,1.4417607533025552,0.0806009822887794,0.9225536040622613
WT,absolute,50.0,37.719298245614034,33.388293487221766,114,1.2130323437351798,0.35271552860255373,0.8896650560075989
WT,absolute,75.0,35.96491228070175,32.31657048639736,114,1.181758308418909,0.46466643786284634,0.9115953066999967
WT,absolute,100.0,33.333333333333336,31.409727947238252,114,1.0982191041554237,0.6742834970241671,0.9094227504244482
WT,absolute,150.0,33.333333333333336,29.92580379225062,114,1.1775224532729185,0.456227591990427,0.9280180063195255
WT,absolute,200.0,31.57894736842105,28.689200329760922,114,1.1547487411929196,0.5180043974118113,0.9052668706254643
WT,fractional,0.01,47.36842105263158,37.92250618301731,114,1.4739907215477248,0.055784633539828515,0.9355534998458218
WT,fractional,0.05,44.73684210526316,36.19126133553174,114,1.4292100006270547,0.08405442125945711,0.9469438002557489
WT,fractional,0.1,43.85964912280702,35.36685902720528,114,1.4300836559547336,0.08263657094270904,0.9111574801174855
WT,fractional,0.25,39.473684210526315,33.800494641384994,114,1.2814430550565639,0.2561248489900772,0.8785541986688319
WT,fractional,0.5,34.21052631578947,31.90436933223413,114,1.1158897671437726,0.6016422054905769,0.9040077684216191
WT,fractional,0.75,33.333333333333336,30.58532563891179,114,1.141327773819263,0.5267904941976914,0.9347237189075911
WT,fractional,1.0,32.45614035087719,29.101401483924153,114,1.177852808322307,0.45296410316750424,0.8933784380509389
WT,fractional,1.5,28.94736842105263,27.45259686727123,114,1.0852273249878128,0.7427401777699559,0.9433790205203186
WT,fractional,2.0,26.31578947368421,25.8037922506183,114,1.0367864254503931,0.9110780618333376,0.9706255952114096
WT,fractional,3.0,24.56140350877193,23.907666941467436,114,1.0474167520619224,0.9086627384967716,0.9452141758548622
TC,absolute,0.0,47.5,19.868095630667767,80,3.6479113384484227,1.316211948357103e-07,0.9332289840161522
TC,absolute,5.0,45.0,18.63149216817807,80,3.5760349232333755,2.0362666996892818e-07,0.9664569699884815
TC,absolute,10.0,45.0,18.054410552349548,80,3.7162345473624945,1.0463170472081006e-07,0.9579331255433284
TC,absolute,15.0,45.0,17.889530090684254,80,3.7579491153299753,8.841389369791705e-08,0.9325741536539575
TC,absolute,20.0,45.0,17.724649629018963,80,3.8004379676216793,7.606592380991873e-08,0.9154401407788649
TC,absolute,30.0,42.5,17.312448474855728,80,3.5369703470998393,4.108132097968162e-07,0.9400941377834832
TC,absolute,50.0,38.75,16.735366859027206,80,3.1599285235648873,6.809519003470541e-06,0.9041149419710973
TC,absolute,75.0,37.5,15.993404781533389,80,3.165746137595764,9.44931196066128e-06,0.9107531692766592
TC,absolute,100.0,33.75,15.416323165704863,80,2.814080996884735,0.00012697647676717126,0.898756837929382
TC,absolute,150.0,33.75,14.83924154987634,80,2.9431485748310764,5.011312223171601e-05,0.925118366008627
