label,primary,pk,pn,ped,ped_lo,ped_hi,gk,gn,gbm,gbm_lo,gbm_hi,p,or_,lo,hi,aor,alo,ahi,ap,p_bh
"CC involvement, WT",False,81,114,71.05263157894737,62.149167273338435,78.58347722571793,1020,1213,84.08903544929926,81.92338599597284,86.03944499205387,0.0009705255389606649,0.46129713997382027,0.2998937708317099,0.7095680939216293,1.5441373564879106,0.8962105269321953,2.6604911502918185,0.11753740508574834,0.0036394707711024936
"CC involvement, TC",True,54,80,67.5,56.64032172496734,76.75598750577254,694,1213,57.21352019785655,54.41067372492745,59.970820135900446,0.07958945993756794,1.5383810804569598,0.9539338241524604,2.480902017297254,4.444141858547249,2.5250851891656008,7.821675460152772,2.323422978523452e-07,0.1492302373829399
"CC involvement, ET",False,42,80,52.5,41.695451180328746,63.07545013834838,674,1213,55.56471558120363,52.75517488446171,58.33912037960553,0.6427980138299441,0.8829532217226805,0.5626904836284545,1.385497737092061,2.095595509266636,1.245534312140567,3.52581257349005,0.005318141922137515,0.7416900159576277
"Genu involvement, WT",False,22,114,19.29824561403509,13.103797364220362,27.494429407989106,426,1213,35.119538334707336,32.48403306590899,37.84899959832604,0.0005726284586221661,0.44913025569532017,0.2791519753398002,0.7226099200458845,1.041424330593138,0.6098218111904189,1.778494334655254,0.8818306507642121,0.0028631422931108303
"Genu involvement, TC",False,16,80,20.0,12.70273637929335,30.04644779658116,244,1213,20.115416323165704,17.955441893201403,22.464083540511577,1.0,1.0143624863271032,0.580212072546013,1.773370983393498,2.8587162254806864,1.4899768576073842,5.484822409221586,0.0015810315850285819,1.0
"Genu involvement, ET",False,7,80,8.75,4.303145464743989,16.97698277708346,230,1213,18.961253091508656,16.85454924538584,21.263937170594676,0.02409130209619841,0.43538890610474124,0.2026240860817554,0.9355427739355603,1.0152674097424716,0.43619844190777013,2.363071057239433,0.9719578933513339,0.06022825524049602
"Body involvement, WT",False,74,114,64.91228070175438,55.795607995351105,73.05668185814716,845,1213,69.66199505358615,67.01613958830144,72.18370367806945,0.2904216436675925,0.8017244526213578,0.5364823996548834,1.1981047250469012,3.386788076426597,1.9996328677023898,5.736219713074115,5.690837416599548e-06,0.3960295140921716
"Body involvement, TC",False,49,80,61.25,50.29345562232477,71.17560031172229,444,1213,36.60346248969497,33.938770299998325,39.35274110132129,2.3208051263241467e-05,2.7203920938454123,1.7143633776799692,4.316782101512046,7.321717076617993,4.2342946222928495,12.660323792256882,1.038960753868355e-12,0.000174060384474311
"Body involvement, ET",False,33,80,41.25,31.105686511513085,52.19615887311697,425,1213,35.03709810387469,32.403296683701285,37.76537605069571,0.27812597839364894,1.3069330199764981,0.8269799223769082,2.065435777201868,2.745654403708044,1.6380480688432262,4.602195898881694,0.00012678630566883322,0.3960295140921716
"Splenium involvement, WT",False,61,114,53.50877192982456,44.388224357839476,62.40054972533658,745,1213,61.41797197032152,58.64654920347665,64.11730107909095,0.1085605583600781,0.7224092216852517,0.49194835826517186,1.0608330626740055,1.509972394065833,0.9765973291992195,2.3346537643211125,0.06381716350476806,0.18093426393346349
"Splenium involvement, TC",False,39,80,48.75,38.107693944368336,59.50685539629311,408,1213,33.6356141797197,31.03213042402287,36.342423503127556,0.007402668676907639,1.8768193950833936,1.1947266789156719,2.948332119743199,2.8800569911115277,1.7708828441592535,4.68395088890728,2.0163207649761386e-05,0.022208006030722916
"Splenium involvement, ET",False,28,80,35.0,25.45439440982969,45.92019767810756,398,1213,32.81121187139324,30.22677472280063,35.504179905969465,0.7130687673711731,1.1109159347553326,0.6932806361531676,1.7801365705830199,1.6010546868354603,0.9715876888368996,2.638337372621966,0.06476732355549077,0.7640022507548283
"Midline crossing, WT (>20/side)",False,50,114,43.85964912280702,35.098228708513204,53.021416645928674,427,1213,35.20197856553998,32.564778193739905,37.93261440033316,0.06704057112657318,1.4404370098372545,0.9785260973521999,2.120391867854383,4.505535946958303,2.789665000539739,7.276807131109245,7.534429278590097e-10,0.14365836669979967
"Midline crossing, TC (>20/side)",False,36,80,45.0,34.57751037437976,55.88068698826599,215,1213,17.724649629018963,15.678456609836761,19.974630858573267,7.606592380991873e-08,3.8004379676216793,2.3948605209955827,6.030968659392353,9.247937808830262,5.31483762087984,16.091621196478663,3.517522371314116e-15,1.140988857148781e-06
"Midline crossing, ET (>5/side)",False,17,80,21.25,13.712274217035494,31.42236061817758,212,1213,17.477328936521022,15.443688349604304,19.71631932929162,0.36777271713301196,1.2988420565076424,0.749754177496925,2.2500584036558045,2.3838160683134824,1.3069964465598674,4.347815223604173,0.004609531403777965,0.4597158964162649
